Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Álex Abrines,SG,25,Oklahoma City Thunder,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2,5455236,5455236,0,0,0,0,0
Quincy Acy,PF,28,Phoenix Suns,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022000000000000002,-5.7,-0.3,-5.9,-0.1,213949,213949,0,0,0,0,0
Jaylen Adams,PG,22,Atlanta Hawks,34,428,7.6,0.474,0.6729999999999999,0.08199999999999999,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.011000000000000001,-3.1,-1.3,-4.4,-0.3,336854,236854,100000,0,0,0,0
Steven Adams,C,25,Oklahoma City Thunder,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,5.1,4.0,9.1,0.163,0.6,2.1,2.7,3.2,77528091,24157304,25842697,27528090,0,0,0
Bam Adebayo,C,21,Miami Heat,82,1913,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3.0,2.4,6409920,2955840,3454080,5115492,0,0,0
LaMarcus Aldridge,C,33,San Antonio Spurs,81,2687,22.9,0.5760000000000001,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.16699999999999998,1.2,0.5,1.6,2.5,55347015,22347015,26000000,24000000,0,0,0
Grayson Allen,SG,23,Utah Jazz,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,0.002,-3.7,-3.1,-6.8,-0.5,2074320,2074320,2429400,2545320,4054695,0,0
Jarrett Allen,C,20,Brooklyn Nets,80,2096,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4,4410960,2034120,2376840,3909902,0,0,0
Al-Farouq Aminu,PF,28,Portland Trail Blazers,81,2292,13.2,0.568,0.47200000000000003,0.292,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.121,0.1,0.8,0.9,1.7,6957105,6957105,0,0,0,0,0
Justin Anderson,SF,25,Atlanta Hawks,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.6,-0.7,-3.2,-0.1,2516048,2516048,0,0,0,0,0
