Team,PER,WIN%,Expected,Real
Houston Rockets,158.3,0.6459999999999999,1.0,4.0
Golden State Warriors,157.99999999999997,0.695,2.0,1.0
Portland Trail Blazers,156.3,0.6459999999999999,3.0,4.0
Minnesota Timberwolves,155.5,0.439,4.0,10.0
Memphis Grizzlies,155.4,0.402,5.0,13.0
San Antonio Spurs,154.5,0.585,6.0,7.0
Sacramento Kings,153.70000000000002,0.47600000000000003,7.0,8.0
Denver Nuggets,153.0,0.659,8.0,2.0
New Orleans Pelicans,149.9,0.402,9.0,13.0
Utah Jazz,146.6,0.61,10.0,5.0
Phoenix Suns,144.7,0.23199999999999998,11.0,14.0
Los Angeles Lakers,143.8,0.451,12.0,9.0
Dallas Mavericks,139.0,0.402,13.0,13.0
Oklahoma City Thunder,138.3,0.598,14.0,6.0
