PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Bam Adebayo,MIA,21,82,39,43,23.3,105.0,104.5,0.5,14.6,1.52,20.7,8.3,22.1,15.1,13.6,57.9,62.3,15.7,99.50,13.3
Bradley Beal,WAS,26,82,32,50,36.9,111.6,113.5,-1.8,23.3,2.00,18.2,2.8,10.4,6.6,9.1,54.0,58.1,27.7,102.80,12.8
Bryn Forbes,SAS,25,82,48,34,28.0,109.9,110.2,-0.3,10.5,2.19,16.3,0.8,9.6,5.3,7.5,56.8,58.6,17.1,99.21,7.7
Buddy Hield,SAC,26,82,39,43,31.9,109.4,110.0,-0.6,11.7,1.40,11.5,3.6,11.0,7.2,8.2,56.0,58.7,24.3,104.94,11.0
Collin Sexton,CLE,20,82,19,63,31.8,105.6,118.1,-12.5,15.4,1.31,13.9,2.1,7.2,4.5,10.6,48.0,52.0,24.7,98.54,7.3
Cory Joseph,IND,27,82,48,34,25.2,107.6,102.4,5.2,20.8,4.01,33.1,1.9,11.1,6.6,8.3,46.3,47.4,13.4,99.69,8.7
DeAndre' Bembry,ATL,24,82,29,53,23.6,104.5,109.4,-5.0,15.0,1.42,19.8,2.6,14.8,8.6,13.9,48.7,50.8,16.8,106.26,8.1
Joe Ingles,UTA,31,82,50,32,31.3,109.2,101.6,7.7,26.2,2.43,30.9,1.3,10.8,6.1,12.7,56.5,58.1,17.0,102.13,10.4
Justin Holiday,MEM,30,82,25,57,31.8,102.4,110.1,-7.7,8.4,1.40,13.7,1.7,10.3,6.0,9.7,49.0,52.0,15.3,99.60,6.8
Kemba Walker,CHA,29,82,39,43,34.9,112.1,111.8,0.4,28.7,2.29,18.9,1.7,10.6,6.0,8.2,51.1,55.8,30.8,99.38,14.0
Kentavious Caldwell-Pope,LAL,26,82,37,45,24.8,106.3,110.1,-3.7,7.7,1.69,11.2,2.2,8.8,5.5,6.6,53.0,56.8,17.5,104.26,8.3
Mason Plumlee,DEN,29,82,54,28,21.1,109.3,106.1,3.2,19.9,1.93,27.0,9.1,19.8,14.4,14.0,59.5,60.2,15.9,99.60,11.5
Mikal Bridges,PHX,22,82,19,63,29.5,105.3,112.0,-6.8,9.7,2.47,20.3,2.3,8.5,5.4,8.2,52.3,55.6,11.9,102.19,6.4
Monte Morris,DEN,24,82,54,28,24.0,109.4,105.1,4.3,22.1,5.71,27.4,1.7,7.8,4.7,4.8,56.0,57.7,16.8,99.16,11.3
Montrezl Harrell,LAC,25,82,48,34,26.3,111.9,109.9,1.9,12.3,1.23,12.0,8.5,14.6,11.7,9.8,61.7,63.6,22.7,104.09,14.0
