Player,Team,ORtg,Position_C,Position_PF,Position_PG,Position_SF,Position_SG,role_FU,role_SU,DRtg,Salary 2018-19,decision
Élie Okobo,Phoenix Suns,94.0,0,0,1,0,0,0,1,117,1238464,1.0
Wayne Selden,Chicago Bulls,94.0,0,0,0,0,1,0,1,115,1544951,1.0
Chandler Hutchison,Chicago Bulls,101.0,0,0,0,1,0,0,1,114,1991520,1.0
Antonio Blakeney,Chicago Bulls,94.0,0,0,0,0,1,0,1,116,1349383,1.0
Bobby Portis,Washington Wizards,104.0,0,1,0,0,0,0,1,112,2494346,1.0
Kosta Koufos,Sacramento Kings,101.0,1,0,0,0,0,0,1,108,8739500,1.0
Mario Hezonja,New York Knicks,94.0,0,0,0,1,0,0,1,112,6500000,1.0
Frank Ntilikina,New York Knicks,88.0,0,0,1,0,0,0,1,115,4155720,1.0
Dirk Nowitzki,Dallas Mavericks,96.0,0,1,0,0,0,0,1,111,5000000,1.0
Ante Žižić,Cleveland Cavaliers,116.0,1,0,0,0,0,0,1,117,1952760,1.0
