Team,ORtg/A,DRtg/A,NRtg/A,W/L%
Milwaukee Bucks,113.89,106.23,7.66,0.732
Golden State Warriors,116.6,110.24,6.37,0.695
Toronto Raptors,113.78,108.4,5.38,0.7070000000000001
Utah Jazz,111.23,105.94,5.28,0.61
Houston Rockets,116.45,111.43,5.03,0.6459999999999999
Portland Trail Blazers,115.63,111.01,4.62,0.6459999999999999
Denver Nuggets,113.74,109.35,4.39,0.659
Boston Celtics,112.57,108.69,3.88,0.598
Oklahoma City Thunder,110.71,107.22,3.49,0.598
Indiana Pacers,110.31,107.5,2.8,0.585
Philadelphia 76ers,113.16,110.97,2.19,0.622
San Antonio Spurs,113.3,111.42,1.88,0.585
Los Angeles Clippers,113.29,112.22,1.06,0.585
Orlando Magic,109.26,109.05,0.21,0.512
Miami Heat,108.03,108.39,-0.36,0.47600000000000003
Brooklyn Nets,110.15,110.56,-0.41,0.512
Detroit Pistons,109.86,110.38,-0.53,0.5
Sacramento Kings,111.29,112.0,-0.71,0.47600000000000003
Dallas Mavericks,110.29,111.08,-0.79,0.402
Minnesota Timberwolves,112.31,113.32,-1.01,0.439
New Orleans Pelicans,111.98,112.98,-1.01,0.402
Los Angeles Lakers,108.46,109.71,-1.26,0.451
Charlotte Hornets,112.11,113.41,-1.3,0.47600000000000003
Memphis Grizzlies,106.93,109.09,-2.17,0.402
Washington Wizards,111.72,114.97,-3.25,0.39
Atlanta Hawks,108.83,114.59,-5.76,0.354
Chicago Bulls,105.49,113.9,-8.41,0.268
Phoenix Suns,106.59,115.11,-8.52,0.23199999999999998
New York Knicks,105.31,114.3,-8.98,0.207
Cleveland Cavaliers,108.83,118.64,-9.82,0.23199999999999998
