Team,PER,W/L%,Expected Rank,Real Rank
Boston Celtics,274.09999999999997,0.598,1.0,10.0
Atlanta Hawks,265.79999999999995,0.354,2.0,26.0
Washington Wizards,263.6,0.39,3.0,25.0
Philadelphia 76ers,263.29999999999995,0.622,4.0,7.0
Houston Rockets,258.09999999999997,0.6459999999999999,5.0,6.0
Memphis Grizzlies,254.1,0.402,6.0,24.0
Minnesota Timberwolves,254.00000000000003,0.439,7.0,21.0
Phoenix Suns,240.6,0.23199999999999998,8.0,29.0
Brooklyn Nets,237.90000000000003,0.512,9.0,15.0
Portland Trail Blazers,227.99999999999997,0.6459999999999999,10.0,6.0
Toronto Raptors,227.69999999999996,0.7070000000000001,11.0,2.0
New Orleans Pelicans,224.70000000000002,0.402,12.0,24.0
Golden State Warriors,224.5,0.695,13.0,3.0
Utah Jazz,221.10000000000002,0.61,14.0,8.0
Chicago Bulls,220.29999999999998,0.268,15.0,27.0
New York Knicks,216.89999999999998,0.207,16.0,30.0
Sacramento Kings,213.0,0.47600000000000003,17.0,19.0
Milwaukee Bucks,211.79999999999998,0.732,18.0,1.0
Los Angeles Lakers,203.89999999999998,0.451,19.0,20.0
Indiana Pacers,203.29999999999998,0.585,20.0,13.0
San Antonio Spurs,202.4,0.585,21.0,13.0
Charlotte Hornets,201.20000000000002,0.47600000000000003,22.0,19.0
Cleveland Cavaliers,200.80000000000004,0.23199999999999998,23.0,29.0
Detroit Pistons,197.1,0.5,24.0,16.0
Denver Nuggets,196.70000000000002,0.659,25.0,4.0
Los Angeles Clippers,193.89999999999998,0.585,26.0,13.0
Dallas Mavericks,192.0,0.402,27.0,24.0
Miami Heat,188.40000000000003,0.47600000000000003,28.0,19.0
Orlando Magic,184.0,0.512,29.0,15.0
Oklahoma City Thunder,176.99999999999997,0.598,30.0,10.0
