W/L%,ORtg,ORtg_top5,ORtg_top10,ORtg_mid5,DRtg,DRtg_top5,DRtg_top10,DRtg_mid5,PER_top5,PER_top10
1.0,0.84,0.72,0.79,0.55,-0.76,-0.8,-0.72,-0.59,0.78,0.54
0.84,1.0,0.84,0.94,0.66,-0.34,-0.41,-0.28,-0.11,0.83,0.69
0.72,0.84,1.0,0.74,0.25,-0.3,-0.37,-0.24,-0.07,0.84,0.5
0.79,0.94,0.74,1.0,0.83,-0.31,-0.37,-0.26,-0.13,0.73,0.7
0.55,0.66,0.25,0.83,1.0,-0.21,-0.22,-0.19,-0.13,0.36,0.6
-0.76,-0.34,-0.3,-0.31,-0.21,1.0,0.98,0.99,0.92,-0.4,-0.19
-0.8,-0.41,-0.37,-0.37,-0.22,0.98,1.0,0.97,0.86,-0.49,-0.26
-0.72,-0.28,-0.24,-0.26,-0.19,0.99,0.97,1.0,0.96,-0.36,-0.2
-0.59,-0.11,-0.07,-0.13,-0.13,0.92,0.86,0.96,1.0,-0.19,-0.11
0.78,0.83,0.84,0.73,0.36,-0.4,-0.49,-0.36,-0.19,1.0,0.59
0.54,0.69,0.5,0.7,0.6,-0.19,-0.26,-0.2,-0.11,0.59,1.0
