Player,Pos,Team,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24,Salary 2023-2024,Signed Using,Guaranteed,Role
Collin Sexton,SG,Cleveland Cavaliers,65.0,11.6,24.7,0.47200000000000003,2.2,5.8,0.38,9.4,18.9,0.501,5.1,6.1,0.846,1.4,3.2,4.6,4.4,1.5,0.2,3.6,3.2,30.6,108.0,118.0,21.0,65.0,2143.0,16.3,0.56,0.235,0.24600000000000002,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.2,0.3,2.5,0.057,0.3,-2.1,-1.8,0.1,4764960.0,4991880.0,6349671.0,0.0,0.0,0.0,1st Round Pick,9756840.0,First Unit
Cedi Osman,SF,Cleveland Cavaliers,65.0,6.8,15.5,0.43700000000000006,3.1,8.2,0.38299999999999995,3.6,7.3,0.49700000000000005,1.6,2.4,0.67,1.0,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,107.0,117.0,24.0,65.0,1910.0,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.1,0.5,1.6,0.04,-1.6,-0.9,-2.6,-0.3,2907143.0,8750000.0,8050000.0,7350000.0,6650000.0,0.0,MLE,27057143.0,First Unit
Darius Garland,PG,Cleveland Cavaliers,59.0,7.5,18.6,0.401,2.8,7.9,0.355,4.7,10.7,0.434,1.7,1.9,0.875,0.7,2.2,3.0,6.1,1.1,0.1,4.0,2.5,19.4,96.0,119.0,20.0,59.0,1824.0,8.5,0.498,0.423,0.10300000000000001,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.035,-2.7,-2.9,-5.6,-1.7,6400920.0,6720720.0,7040880.0,8920795.0,0.0,0.0,1st Round Pick,13121640.0,First Unit
Kevin Love,PF,Cleveland Cavaliers,56.0,8.9,19.9,0.45,4.0,10.7,0.374,4.9,9.2,0.537,5.1,6.0,0.8540000000000001,1.5,13.5,15.0,4.9,0.9,0.5,3.8,2.5,27.0,112.0,113.0,31.0,56.0,1780.0,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.2,3.8,0.102,2.6,-0.6,2.1,1.8,28900000.0,31300000.0,31300000.0,28900000.0,0.0,0.0,Bird Rights,120400000.0,First Unit
Tristan Thompson,C,Cleveland Cavaliers,51.0,8.1,15.9,0.512,0.3,0.7,0.391,7.9,15.2,0.518,2.8,4.6,0.615,6.4,9.9,16.3,3.4,0.9,1.4,2.9,3.5,19.3,112.0,114.0,28.0,57.0,1721.0,16.8,0.54,0.040999999999999995,0.28600000000000003,14.5,22.9,18.6,10.5,0.9,2.5,14.0,18.3,2.0,1.1,3.1,0.085,-0.2,-1.3,-1.5,0.2,18539130.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,18539130.0,First Unit
Kyle Lowry,PG,Toronto Raptors,52.0,7.8,18.6,0.41700000000000004,3.8,10.8,0.354,3.9,7.8,0.505,6.4,7.4,0.861,0.8,5.5,6.3,10.0,1.8,0.6,3.9,4.2,25.8,117.0,107.0,33.0,52.0,1901.0,17.9,0.589,0.583,0.39899999999999997,1.7,12.0,7.0,31.0,1.8,1.1,15.0,23.1,4.1,2.8,6.9,0.17300000000000001,2.5,0.7,3.2,2.5,33296296.0,30000000.0,0.0,0.0,0.0,0.0,Bird Rights,63296296.0,First Unit
OG Anunoby,SF,Toronto Raptors,62.0,6.7,13.3,0.507,2.1,5.4,0.381,4.7,7.8,0.593,1.5,2.2,0.6859999999999999,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17.0,113.0,104.0,22.0,63.0,1897.0,13.2,0.598,0.408,0.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,1.8,3.3,5.1,0.13,-0.9,1.8,0.9,1.4,2281800.0,3872215.0,0.0,0.0,0.0,0.0,1st Round Pick,6154015.0,First Unit
Pascal Siakam,PF,Toronto Raptors,53.0,11.6,25.4,0.45899999999999996,2.9,8.1,0.359,8.7,17.2,0.506,5.6,7.0,0.8,1.4,8.7,10.1,4.8,1.3,1.2,3.3,3.8,31.8,108.0,105.0,25.0,53.0,1882.0,18.7,0.5589999999999999,0.32,0.275,3.3,18.8,11.2,17.0,1.3,2.5,10.5,28.5,2.0,3.2,5.2,0.133,1.7,0.5,2.2,2.0,2351839.0,29000000.0,31320000.0,33640000.0,35960000.0,0.0,1st Round pick,132271839.0,First Unit
Fred VanVleet,PG,Toronto Raptors,48.0,8.0,19.5,0.409,3.6,9.4,0.38799999999999996,4.3,10.1,0.43,3.9,4.6,0.843,0.5,4.5,5.0,8.8,2.5,0.4,3.1,3.3,23.5,111.0,106.0,25.0,48.0,1719.0,16.0,0.546,0.48200000000000004,0.237,1.1,9.7,5.5,27.4,2.5,0.7,12.4,22.0,2.2,2.7,4.9,0.136,1.0,1.3,2.3,1.8,9000000.0,0.0,0.0,0.0,0.0,0.0,Bird Rights,9000000.0,First Unit
Serge Ibaka,C,Toronto Raptors,27.0,11.2,21.6,0.518,2.3,5.8,0.39799999999999996,8.9,15.8,0.562,3.1,4.1,0.748,3.6,10.7,14.3,2.5,0.8,1.5,3.5,4.8,27.8,110.0,104.0,30.0,50.0,1377.0,18.0,0.593,0.266,0.191,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,1.5,2.4,3.9,0.136,0.5,-0.1,0.4,0.9,23271604.0,0.0,0.0,0.0,0.0,0.0,Cap space,23271604.0,First Unit
