Team,W/L%,Real Rank,Expected Rank Top 5 PER,Expected Rank Top 10 PER
Milwaukee Bucks,0.73,1.0,1.0,2.0
Toronto Raptors,0.71,2.0,3.0,6.0
Philadelphia 76ers,0.62,3.0,2.0,3.0
Boston Celtics,0.6,4.0,4.0,1.0
Indiana Pacers,0.58,5.0,8.0,8.0
Orlando Magic,0.51,7.0,5.0,7.0
Brooklyn Nets,0.51,7.0,7.0,12.0
Detroit Pistons,0.5,8.0,10.0,14.0
Charlotte Hornets,0.48,10.0,11.0,4.0
Miami Heat,0.48,10.0,13.0,9.0
Washington Wizards,0.39,11.0,6.0,5.0
Atlanta Hawks,0.35,12.0,14.0,11.0
Chicago Bulls,0.27,13.0,12.0,15.0
Cleveland Cavaliers,0.23,14.0,9.0,10.0
New York Knicks,0.21,15.0,15.0,13.0
