Team,PER: Sum of First Unit,PER: Sum of First and Second Unit,W/L%,Expected_1,Expected_2,Real
Milwaukee Bucks,93.5,163.49999999999997,0.815,1.0,1.0,1.0
Toronto Raptors,83.8,150.4,0.7190000000000001,4.0,7.0,2.0
Boston Celtics,89.8,157.4,0.672,2.0,2.0,3.0
Miami Heat,86.20000000000002,156.6,0.631,3.0,3.0,4.0
Philadelphia 76ers,77.0,149.7,0.6,11.0,8.0,6.0
Indiana Pacers,83.1,151.59999999999997,0.6,5.0,5.0,6.0
Brooklyn Nets,81.2,147.3,0.469,8.0,9.0,7.0
Orlando Magic,81.7,150.6,0.462,7.0,6.0,8.0
Washington Wizards,77.00000000000001,155.0,0.375,10.0,4.0,9.0
Charlotte Hornets,74.0,131.20000000000002,0.354,13.0,15.0,10.0
Chicago Bulls,72.5,134.9,0.338,14.0,13.0,11.0
New York Knicks,82.3,136.8,0.318,6.0,10.0,12.0
Detroit Pistons,78.19999999999999,136.39999999999998,0.303,9.0,11.0,13.0
Atlanta Hawks,76.5,133.3,0.299,12.0,14.0,14.0
Cleveland Cavaliers,70.2,136.0,0.292,15.0,12.0,15.0
