Team,PER: Sum of First Unit,PER: Sum of First and Second Unit,W/L%,Expected_1,Expected_2,Real
Oklahoma City Thunder,96.49999999999999,150.0,0.625,1.0,8.0,6.0
Portland Trail Blazers,90.1,142.6,0.439,2.0,14.0,9.0
Dallas Mavericks,89.2,161.20000000000002,0.597,3.0,1.0,7.0
Los Angeles Clippers,88.5,159.0,0.688,4.0,3.0,2.0
Los Angeles Lakers,88.49999999999999,159.5,0.778,5.0,2.0,1.0
San Antonio Spurs,85.30000000000001,156.9,0.429,6.0,4.0,12.0
Phoenix Suns,82.80000000000001,145.5,0.4,7.0,11.0,13.0
Denver Nuggets,82.10000000000001,155.60000000000002,0.662,8.0,5.0,3.0
Houston Rockets,81.7,144.79999999999998,0.625,9.0,13.0,6.0
Memphis Grizzlies,80.10000000000001,150.7,0.4920000000000001,10.0,6.0,8.0
Utah Jazz,78.3,145.6,0.6409999999999999,11.0,10.0,4.0
New Orleans Pelicans,77.2,145.0,0.438,12.0,12.0,11.0
Minnesota Timberwolves,73.2,149.5,0.297,13.0,9.0,14.0
Sacramento Kings,69.8,150.6,0.438,14.0,7.0,11.0
Golden State Warriors,66.4,119.7,0.231,15.0,15.0,15.0
