Team,ORtg/A,DRtg/A,NRtg/A,W/L%
Milwaukee Bucks,112.84,102.93,9.91,0.815
Los Angeles Lakers,113.63,106.06,7.57,0.778
Los Angeles Clippers,114.15,107.45,6.69,0.688
Dallas Mavericks,117.4,111.51,5.9,0.597
Toronto Raptors,112.28,106.47,5.81,0.7190000000000001
Boston Celtics,113.63,107.85,5.79,0.672
Houston Rockets,114.62,110.89,3.72,0.625
Utah Jazz,113.4,109.99,3.41,0.6409999999999999
Denver Nuggets,113.31,110.2,3.1,0.662
Oklahoma City Thunder,112.52,109.68,2.85,0.625
Miami Heat,113.21,110.65,2.56,0.631
Philadelphia 76ers,111.37,109.21,2.16,0.6
Indiana Pacers,111.34,109.58,1.75,0.6
New Orleans Pelicans,111.99,111.61,0.38,0.438
Memphis Grizzlies,109.95,110.86,-0.91,0.4920000000000001
Orlando Magic,108.56,109.59,-1.02,0.462
Portland Trail Blazers,113.3,114.4,-1.11,0.439
Phoenix Suns,111.36,112.52,-1.15,0.4
Brooklyn Nets,108.69,109.91,-1.22,0.469
San Antonio Spurs,112.7,113.94,-1.24,0.429
Sacramento Kings,110.76,112.11,-1.35,0.438
Minnesota Timberwolves,109.0,112.6,-3.6,0.297
Chicago Bulls,107.23,111.11,-3.88,0.338
Detroit Pistons,109.8,114.1,-4.29,0.303
Washington Wizards,112.47,117.14,-4.67,0.375
New York Knicks,107.0,113.53,-6.53,0.318
Charlotte Hornets,107.42,114.44,-7.02,0.354
Atlanta Hawks,108.27,115.5,-7.24,0.299
Cleveland Cavaliers,108.53,116.27,-7.73,0.292
Golden State Warriors,106.07,114.01,-7.94,0.231
