,Team,Conf,Div,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,DRtg: Sum of First Unit,DRtg: Sum of First and Second Unit,DRtg: Sum of Second Unit,DRtg: Sum of Third Unit,ORtg: Sum of First Unit,ORtg: Sum of First and Second Unit,ORtg: Sum of Second Unit,ORtg: Sum of Third Unit,PER: Sum of First Unit,PER: Sum of First and Second Unit,PER: Sum of Second Unit,PER: Sum of Third Unit
0,Milwaukee Bucks,E,C,0.815,11.29,113.2,102.45,10.76,10.44,112.84,102.93,9.91,507.0,1020.0,513.0,615.0,563.0,1143.0,580.0,626.0,93.5,163.49999999999997,70.0,61.3
1,Los Angeles Lakers,W,P,0.778,7.41,113.66,106.43,7.23,7.75,113.63,106.06,7.57,531.0,1056.0,525.0,530.0,566.0,1133.0,567.0,525.0,88.49999999999999,159.5,71.0,51.5
2,Los Angeles Clippers,W,P,0.688,6.52,114.24,107.77,6.46,6.74,114.15,107.45,6.69,540.0,1074.0,534.0,434.0,578.0,1149.0,571.0,433.0,88.5,159.0,70.5,48.599999999999994
3,Dallas Mavericks,W,SW,0.597,6.04,117.52,111.43,6.09,5.84,117.4,111.51,5.9,551.0,1112.0,561.0,536.0,594.0,1183.0,589.0,541.0,89.2,161.20000000000002,72.0,70.7
4,Toronto Raptors,E,A,0.7190000000000001,6.45,112.52,106.13,6.39,5.88,112.28,106.47,5.81,526.0,1054.0,528.0,510.0,559.0,1121.0,562.0,484.0,83.8,150.4,66.6,45.400000000000006
5,Boston Celtics,E,A,0.672,6.17,113.81,107.53,6.29,5.69,113.63,107.85,5.79,537.0,1072.0,535.0,527.0,564.0,1151.0,587.0,534.0,89.8,157.4,67.6,57.2
6,Houston Rockets,W,SW,0.625,3.75,114.63,110.96,3.67,3.77,114.62,110.89,3.72,554.0,1102.0,548.0,755.0,578.0,1134.0,556.0,816.0,81.7,144.79999999999998,63.099999999999994,101.9
7,Utah Jazz,W,NW,0.6409999999999999,3.17,113.39,110.0,3.39,3.2,113.4,109.99,3.41,547.0,1103.0,556.0,765.0,584.0,1126.0,542.0,522.0,78.3,145.6,67.3,24.500000000000007
8,Denver Nuggets,W,NW,0.662,2.95,113.43,110.39,3.04,3.01,113.31,110.2,3.1,549.0,1096.0,547.0,330.0,563.0,1135.0,572.0,470.0,82.10000000000001,155.60000000000002,73.5,54.5
9,Oklahoma City Thunder,W,NW,0.625,2.45,112.47,109.95,2.52,2.79,112.52,109.68,2.85,546.0,1090.0,544.0,333.0,582.0,1102.0,520.0,196.0,96.49999999999999,150.0,53.49999999999999,10.400000000000002
10,Miami Heat,E,SE,0.631,3.23,113.53,110.31,3.21,2.57,113.21,110.65,2.56,553.0,1095.0,542.0,423.0,578.0,1156.0,578.0,371.0,86.20000000000002,156.6,70.4,33.599999999999994
11,Philadelphia 76ers,E,A,0.6,2.22,111.19,109.03,2.16,2.22,111.37,109.21,2.16,543.0,1083.0,540.0,639.0,554.0,1107.0,553.0,557.0,77.0,149.7,72.7,58.699999999999996
12,Indiana Pacers,E,C,0.6,1.94,111.22,109.11,2.11,1.61,111.34,109.58,1.75,540.0,1088.0,548.0,544.0,564.0,1107.0,543.0,523.0,83.1,151.59999999999997,68.5,58.39999999999999
13,New Orleans Pelicans,W,SW,0.438,-0.83,111.46,112.19,-0.73,0.29,111.99,111.61,0.38,560.0,1115.0,555.0,452.0,557.0,1135.0,578.0,420.0,77.2,145.0,67.8,57.3
14,Memphis Grizzlies,W,SW,0.4920000000000001,-1.08,110.14,111.08,-0.94,-1.06,109.95,110.86,-0.91,554.0,1108.0,554.0,446.0,557.0,1101.0,544.0,400.0,80.10000000000001,150.7,70.6,50.0
15,Orlando Magic,E,SE,0.462,-0.97,108.63,109.77,-1.14,-0.85,108.56,109.59,-1.02,549.0,1089.0,540.0,754.0,543.0,1101.0,558.0,664.0,81.7,150.6,68.89999999999999,63.0
16,Portland Trail Blazers,W,NW,0.439,-1.61,113.12,114.73,-1.61,-1.12,113.3,114.4,-1.11,572.0,1143.0,571.0,231.0,564.0,1117.0,553.0,221.0,90.1,142.6,52.5,19.5
17,Phoenix Suns,W,P,0.4,-1.37,111.2,112.68,-1.49,-1.05,111.36,112.52,-1.15,556.0,1119.0,563.0,563.0,567.0,1119.0,552.0,497.0,82.80000000000001,145.5,62.699999999999996,45.4
